title,region,keyword,30s_path
Bungong Jeumpa,Aceh,Bungong Jeumpa asal Aceh,datasets/30s_segments/aceh/bungong_jeumpa_0/segment1.wav
Bungong Jeumpa,Aceh,Bungong Jeumpa asal Aceh,datasets/30s_segments/aceh/bungong_jeumpa_0/segment2.wav
Bungong Jeumpa,Aceh,Bungong Jeumpa asal Aceh,datasets/30s_segments/aceh/bungong_jeumpa_0/segment3.wav
Bungong Jeumpa,Aceh,Bungong Jeumpa asal Aceh,datasets/30s_segments/aceh/bungong_jeumpa_0/segment4.wav
Bungong Jeumpa,Aceh,Bungong Jeumpa asal Aceh,datasets/30s_segments/aceh/bungong_jeumpa_0/segment5.wav
Bungong Jeumpa,Aceh,Bungong Jeumpa asal Aceh,datasets/30s_segments/aceh/bungong_jeumpa_1/segment1.wav
Bungong Jeumpa,Aceh,Bungong Jeumpa asal Aceh,datasets/30s_segments/aceh/bungong_jeumpa_1/segment2.wav
Bungong Jeumpa,Aceh,Bungong Jeumpa asal Aceh,datasets/30s_segments/aceh/bungong_jeumpa_1/segment3.wav
Bungong Jeumpa,Aceh,Bungong Jeumpa asal Aceh,datasets/30s_segments/aceh/bungong_jeumpa_1/segment4.wav
Bungong Jeumpa,Aceh,Bungong Jeumpa asal Aceh,datasets/30s_segments/aceh/bungong_jeumpa_1/segment5.wav
Bungong Jeumpa,Aceh,Bungong Jeumpa asal Aceh,datasets/30s_segments/aceh/bungong_jeumpa_1/segment6.wav
Bungong Jeumpa,Aceh,Bungong Jeumpa asal Aceh,datasets/30s_segments/aceh/bungong_jeumpa_1/segment7.wav
Bungong Jeumpa,Aceh,Bungong Jeumpa asal Aceh,datasets/30s_segments/aceh/bungong_jeumpa_1/segment8.wav
Bungong Jeumpa,Aceh,Bungong Jeumpa asal Aceh,datasets/30s_segments/aceh/bungong_jeumpa_2/segment1.wav
Bungong Jeumpa,Aceh,Bungong Jeumpa asal Aceh,datasets/30s_segments/aceh/bungong_jeumpa_2/segment2.wav
Bungong Jeumpa,Aceh,Bungong Jeumpa asal Aceh,datasets/30s_segments/aceh/bungong_jeumpa_2/segment3.wav
Bungong Jeumpa,Aceh,Bungong Jeumpa asal Aceh,datasets/30s_segments/aceh/bungong_jeumpa_2/segment4.wav
Bungong Jeumpa,Aceh,Bungong Jeumpa asal Aceh,datasets/30s_segments/aceh/bungong_jeumpa_2/segment5.wav
Bungong Jeumpa,Aceh,Bungong Jeumpa asal Aceh,datasets/30s_segments/aceh/bungong_jeumpa_2/segment6.wav
Bungong Jeumpa,Aceh,Bungong Jeumpa asal Aceh,datasets/30s_segments/aceh/bungong_jeumpa_3/segment1.wav
Bungong Jeumpa,Aceh,Bungong Jeumpa asal Aceh,datasets/30s_segments/aceh/bungong_jeumpa_3/segment2.wav
Bungong Jeumpa,Aceh,Bungong Jeumpa asal Aceh,datasets/30s_segments/aceh/bungong_jeumpa_3/segment3.wav
Bungong Jeumpa,Aceh,Bungong Jeumpa asal Aceh,datasets/30s_segments/aceh/bungong_jeumpa_3/segment4.wav
Bungong Jeumpa,Aceh,Bungong Jeumpa asal Aceh,datasets/30s_segments/aceh/bungong_jeumpa_3/segment5.wav
Bungong Jeumpa,Aceh,Bungong Jeumpa asal Aceh,datasets/30s_segments/aceh/bungong_jeumpa_3/segment6.wav
Bungong Jeumpa,Aceh,Bungong Jeumpa asal Aceh,datasets/30s_segments/aceh/bungong_jeumpa_3/segment7.wav
Bungong Jeumpa,Aceh,Bungong Jeumpa asal Aceh,datasets/30s_segments/aceh/bungong_jeumpa_4/segment1.wav
Bungong Jeumpa,Aceh,Bungong Jeumpa asal Aceh,datasets/30s_segments/aceh/bungong_jeumpa_4/segment2.wav
Bungong Jeumpa,Aceh,Bungong Jeumpa asal Aceh,datasets/30s_segments/aceh/bungong_jeumpa_4/segment3.wav
Bungong Jeumpa,Aceh,Bungong Jeumpa asal Aceh,datasets/30s_segments/aceh/bungong_jeumpa_4/segment4.wav
Bungong Jeumpa,Aceh,Bungong Jeumpa asal Aceh,datasets/30s_segments/aceh/bungong_jeumpa_4/segment5.wav
Bungong Jeumpa,Aceh,Bungong Jeumpa asal Aceh,datasets/30s_segments/aceh/bungong_jeumpa_4/segment6.wav
Bungong Jeumpa,Aceh,Bungong Jeumpa asal Aceh,datasets/30s_segments/aceh/bungong_jeumpa_4/segment7.wav
